[2025-03-11 15:01:44.576160] [171420] [debug] init_provider started
[2025-03-11 15:01:44.576477] [171420] [info] Found kernel with version 5.14.0-503
[2025-03-11 15:01:44.576496] [171420] [info] chdir_optimization_enabled config value: true
[2025-03-11 15:01:44.576510] [171420] [info] uprobes_enabled_backported_kernel config value: false
[2025-03-11 15:01:44.576556] [171420] [info] tcp_v6_accept kprobes config value: true
[2025-03-11 15:01:44.576590] [171420] [info] tcp_v6_connect kprobes config value: true
[2025-03-11 15:01:44.576624] [171420] [info] tcp_v4_accept ebpf config value: true
[2025-03-11 15:01:44.576659] [171420] [info] tcp_v4_connect ebpf config value: true
[2025-03-11 15:01:44.576692] [171420] [info] tcp_v6_accept ebpf config value: true
[2025-03-11 15:01:44.576725] [171420] [info] tcp_v6_connect ebpf config value: true
[2025-03-11 15:01:44.576738] [171420] [info] ebpf_allow_missing_caps config value: true
[2025-03-11 15:01:44.576756] [171420] [info] btf_num_candidates config value: 3
[2025-03-11 15:01:44.576804] [171420] [debug] cron monitor: [full path: /var/spool/cron/crontabs, host path: /var/spool/cron/crontabs, path: /var/spool/cron/crontabs] does not exist
[2025-03-11 15:01:44.576919] [171420] [info] cron monitor: initialized
[2025-03-11 15:01:44.576953] [171420] [trace] utmp entry: type=7, pid=1051007, line=pts/0, id=ts/0onecloud-admin, user=onecloud-admin, host=10.51.192.166, tv=(1725120195.511691)
[2025-03-11 15:01:46.384954] [171420] [debug] hook_ebpf: section name: raw_tracepoint/sched_process_exec, tracefs hook name: sched_process_exec, ebpf_type: 50011, skip: false, event buffer type: perf
[2025-03-11 15:01:46.386657] [171420] [debug] hook_ebpf: section name: kprobe/do_dup2, tracefs hook name: s1_50011_do_dup2_enter, ebpf_type: 50011, skip: false, event buffer type: perf
[2025-03-11 15:01:46.386663] [171420] [debug] Autoload disable, skipping eBPF program stream_truncated_path_telemetry_kp_tail (kprobe/stream_truncated_path_telemetry_tail)
[2025-03-11 15:01:46.386669] [171420] [debug] hook_ebpf: section name: raw_tracepoint/stream_truncated_path_telemetry_tail, tracefs hook name: stream_truncated_path_telemetry_tail, ebpf_type: 50011, skip: false, event buffer type: perf
[2025-03-11 15:01:46.386672] [171420] [debug] Autoload disable, skipping eBPF program stream_execv_sample_kp_compat_tail (kprobe/stream_execv_sample_compat_tail)
[2025-03-11 15:01:46.386682] [171420] [debug] Autoload disable, skipping eBPF program stream_execv_sample_kp_tail (kprobe/stream_execv_sample_tail)
[2025-03-11 15:01:46.386685] [171420] [debug] Autoload disable, skipping eBPF program stream_execv_sample_raw_tp_compat_tail (raw_tracepoint/stream_execv_sample_compat_tail)
[2025-03-11 15:01:46.386689] [171420] [debug] hook_ebpf: section name: raw_tracepoint/stream_execv_sample_tail, tracefs hook name: stream_execv_sample_tail, ebpf_type: 50011, skip: false, event buffer type: perf
[2025-03-11 15:01:46.386692] [171420] [debug] Autoload disable, skipping eBPF program do_post_walk_path_goto_custom_step_kp_tail (kprobe/do_post_walk_path_goto_custom_step_tail)
[2025-03-11 15:01:46.386696] [171420] [debug] hook_ebpf: section name: raw_tracepoint/do_post_walk_path_goto_custom_step_tail, tracefs hook name: do_post_walk_path_goto_custom_step_tail, ebpf_type: 50011, skip: false, event buffer type: perf
[2025-03-11 15:01:46.386705] [171420] [debug] Autoload disable, skipping eBPF program do_walk_path_and_advance_kp_tail (kprobe/do_walk_path_and_advance_tail)
[2025-03-11 15:01:46.386709] [171420] [debug] hook_ebpf: section name: raw_tracepoint/do_walk_path_and_advance_tail, tracefs hook name: do_walk_path_and_advance_tail, ebpf_type: 50011, skip: false, event buffer type: perf
[2025-03-11 15:01:46.386766] [171420] [info] loaded eBPF object: path: /opt/sentinelone/ebpfs/core/execv_kern.o, name: execv_kern, programs (14), maps (13). eBPF programs: [name: free_bprm_prog, section name: kprobe/free_bprm, insns: 817, prog_type: kprobe, fd: not loaded] [name: sched_process_exec_tracepoint_prog, section name: tracepoint/sched/sched_process_exec, insns: 31, prog_type: tracepoint, fd: not loaded] [name: sched_process_exec_prog, section name: raw_tracepoint/sched_process_exec, insns: 789, prog_type: raw_tracepoint, fd: 56] [name: do_dup2_prog, section name: kprobe/do_dup2, insns: 106, prog_type: kprobe, fd: 57] [name: stream_truncated_path_telemetry_kp_tail, section name: kprobe/stream_truncated_path_telemetry_tail, insns: 1645, prog_type: kprobe, fd: not loaded] [name: stream_truncated_path_telemetry_raw_tp_tail, section name: raw_tracepoint/stream_truncated_path_telemetry_tail, insns: 1645, prog_type: raw_tracepoint, fd: 58] [name: stream_execv_sample_kp_compat_tail, section name: kprobe/stream_execv_sample_compat_tail, insns: 97, prog_type: kprobe, fd: not loaded] [name: stream_execv_sample_kp_tail, section name: kprobe/stream_execv_sample_tail, insns: 716, prog_type: kprobe, fd: not loaded] [name: stream_execv_sample_raw_tp_compat_tail, section name: raw_tracepoint/stream_execv_sample_compat_tail, insns: 97, prog_type: raw_tracepoint, fd: not loaded] [name: stream_execv_sample_raw_tp_tail, section name: raw_tracepoint/stream_execv_sample_tail, insns: 716, prog_type: raw_tracepoint, fd: 59] [name: do_post_walk_path_goto_custom_step_kp_tail, section name: kprobe/do_post_walk_path_goto_custom_step_tail, insns: 87, prog_type: kprobe, fd: not loaded] [name: do_post_walk_path_goto_custom_step_raw_tp_tail, section name: raw_tracepoint/do_post_walk_path_goto_custom_step_tail, insns: 87, prog_type: raw_tracepoint, fd: 60] [name: do_walk_path_and_advance_kp_tail, section name: kprobe/do_walk_path_and_advance_tail, insns: 1639, prog_type: kprobe, fd: not loaded] [name: do_walk_path_and_advance_raw_tp_tail, section name: raw_tracepoint/do_walk_path_and_advance_tail, insns: 1639, prog_type: raw_tracepoint, fd: 61], eBPF maps: [name: tgid_execv_triggered, fd: 43, type: lru_hash, max_entries: 100, key_size: 4, value_size: 1] [name: build_abs_path_args_map, fd: 44, type: lru_hash, max_entries: 2048, key_size: 8, value_size: 48] [name: build_abs_path_prog_array, fd: 45, type: prog_array, max_entries: 16, key_size: 4, value_size: 4] [name: config_map, fd: 46, type: array, max_entries: 10, key_size: 4, value_size: 4] [name: s1_pex, fd: 48, type: hash, max_entries: 4194304, key_size: 4, value_size: 1] [name: s1_mex, fd: 49, type: hash, max_entries: 512, key_size: 4, value_size: 1] [name: events_map, fd: 47, type: perf_event, max_entries: 2048, key_size: 4, value_size: 4] [name: tmp_sample_storage, fd: 50, type: per_cpu, max_entries: 1, key_size: 4, value_size: 8392] [name: tmp_dynamic_sample_storage, fd: 51, type: per_cpu, max_entries: 1, key_size: 4, value_size: 16392] [name: inode_to_io_info, fd: 52, type: lru_hash, max_entries: 8196, key_size: 8, value_size: 8] [name: reader_to_writer_pid, fd: 53, type: lru_hash, max_entries: 8196, key_size: 4, value_size: 4] [name: writer_to_reader_pid, fd: 54, type: lru_hash, max_entries: 8196, key_size: 4, value_size: 4] [name: tmp_arg_env_storage, fd: 55, type: per_cpu, max_entries: 1, key_size: 4, value_size: 48], eBPF links:
[2025-03-11 15:01:46.386780] [171420] [debug] Run eBPF test for 'execv_kern.o', 'ebpf_execv', test params: /opt/sentinelone/ebpfs/test_ebpf process_exec --object=/opt/sentinelone/ebpfs/core/execv_kern.o --missing-caps
[2025-03-11 15:01:46.396167] [171420] [debug] run_ebpf_test: pid 171445
[2025-03-11 15:01:46.396197] [171420] [debug] Excluding PID 171445
[2025-03-11 15:01:47.396484] [171420] [info] eBPF test for 'execv_kern.o', 'ebpf_execv' pass successfully
[2025-03-11 15:01:47.396570] [171420] [info] tail_calls pipeline: adding 'index: 3, fd: 58' entry
[2025-03-11 15:01:47.396575] [171420] [info] tail_calls pipeline: adding 'index: 2, fd: 59' entry
[2025-03-11 15:01:47.396578] [171420] [info] tail_calls pipeline: adding 'index: 1, fd: 60' entry
[2025-03-11 15:01:47.396582] [171420] [info] tail_calls pipeline: adding 'index: 0, fd: 61' entry
[2025-03-11 15:01:47.396687] [171420] [debug] Initializing event ebpf_execv
[2025-03-11 15:01:47.396691] [171420] [debug] get_supported_ebpf_object: called for 'ebpf_execv' type
[2025-03-11 15:01:47.396695] [171420] [debug] perf_ebpf_object::init_hooks: called for ebpf_execv
[2025-03-11 15:01:47.411388] [171420] [debug] Creating kprobe for 'do_dup2', using dynamic_pmu approach
[2025-03-11 15:01:47.411400] [171420] [info] perf_ebpf_object: initialized 6 hooks for type 'ebpf_execv'
[2025-03-11 15:01:47.411471] [171420] [debug] adding sample handler for 50011
[2025-03-11 15:01:47.411477] [171420] [debug] sample handler for 50011 is already exist with 1 handlers
[2025-03-11 15:01:47.411481] [171420] [debug] sample handler for 50011 is already exist with 1 handlers
[2025-03-11 15:01:47.411483] [171420] [debug] sample handler for 50011 is already exist with 1 handlers
[2025-03-11 15:01:47.411485] [171420] [debug] sample handler for 50011 is already exist with 1 handlers
[2025-03-11 15:01:47.411486] [171420] [debug] sample handler for 50011 is already exist with 1 handlers
[2025-03-11 15:01:47.411490] [171420] [info] open_event_hooks: ebpf_execv: 6 hooks
[2025-03-11 15:01:47.411538] [171420] [debug] Could not attach raw tracepoint program do_walk_path_and_advance_tail at fd 61: No such file or directory
[2025-03-11 15:01:47.411568] [171420] [debug] eBPF program fd 61 attached to bpf raw tracepoint. dummy perf fd: 62
[2025-03-11 15:01:47.411584] [171420] [debug] Could not attach raw tracepoint program do_post_walk_path_goto_custom_step_tail at fd 60: No such file or directory
[2025-03-11 15:01:47.411591] [171420] [debug] eBPF program fd 60 attached to bpf raw tracepoint. dummy perf fd: 63
[2025-03-11 15:01:47.411608] [171420] [debug] Could not attach raw tracepoint program stream_execv_sample_tail at fd 59: No such file or directory
[2025-03-11 15:01:47.411617] [171420] [debug] eBPF program fd 59 attached to bpf raw tracepoint. dummy perf fd: 64
[2025-03-11 15:01:47.411640] [171420] [debug] Could not attach raw tracepoint program stream_truncated_path_telemetry_tail at fd 58: No such file or directory
[2025-03-11 15:01:47.411648] [171420] [debug] eBPF program fd 58 attached to bpf raw tracepoint. dummy perf fd: 65
[2025-03-11 15:01:47.413248] [171420] [debug] eBPF program fd 57 attached to perf fd 66
[2025-03-11 15:01:47.413325] [171420] [debug] eBPF program fd 56 attached to bpf raw tracepoint. dummy perf fd: 68
[2025-03-11 15:01:47.413329] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413341] [171420] [trace] Added event fd 62 to main fd 20 (CPU 0)
[2025-03-11 15:01:47.413346] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413355] [171420] [trace] Added event fd 63 to main fd 20 (CPU 0)
[2025-03-11 15:01:47.413356] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413359] [171420] [trace] Added event fd 64 to main fd 20 (CPU 0)
[2025-03-11 15:01:47.413361] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413365] [171420] [trace] Added event fd 65 to main fd 20 (CPU 0)
[2025-03-11 15:01:47.413369] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413371] [171420] [trace] Added event fd 66 to main fd 20 (CPU 0)
[2025-03-11 15:01:47.413374] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413384] [171420] [trace] Added event fd 68 to main fd 20 (CPU 0)
[2025-03-11 15:01:47.413388] [171420] [info] open_event_hooks: ebpf_execv: 6 hooks
[2025-03-11 15:01:47.413391] [171420] [debug] hook_ebpf_raw_tracepoint: handling cpu id 1 for 'do_walk_path_and_advance_tail', creating a dummy fd
[2025-03-11 15:01:47.413393] [171420] [debug] hook_ebpf_raw_tracepoint: handling cpu id 1 for 'do_post_walk_path_goto_custom_step_tail', creating a dummy fd
[2025-03-11 15:01:47.413395] [171420] [debug] hook_ebpf_raw_tracepoint: handling cpu id 1 for 'stream_execv_sample_tail', creating a dummy fd
[2025-03-11 15:01:47.413403] [171420] [debug] hook_ebpf_raw_tracepoint: handling cpu id 1 for 'stream_truncated_path_telemetry_tail', creating a dummy fd
[2025-03-11 15:01:47.413466] [171420] [debug] hook_ebpf: handling cpu id 1 for 's1_50011_do_dup2_enter', creating a dummy fd
[2025-03-11 15:01:47.413469] [171420] [debug] hook_ebpf_raw_tracepoint: handling cpu id 1 for 'sched_process_exec', creating a dummy fd
[2025-03-11 15:01:47.413470] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413473] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413475] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413476] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413478] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413482] [171420] [trace] Adding event of type 50011
[2025-03-11 15:01:47.413494] [171420] [info] Skipping disabled 'kill' event
[2025-03-11 15:01:47.413509] [171420] [debug] Initializing event file_create
[2025-03-11 15:01:47.413516] [171420] [info] libbpf s1 constant 'dynamic_sample_enabled' set to 'enabled'
[2025-03-11 15:01:47.413703] [171420] [debug] available_versions: core,5.11.0-16
[2025-03-11 15:01:47.413714] [171420] [debug] init_ebpf_object: checking version 'core' for 'file_create' eBPF
[2025-03-11 15:01:47.474729] [171420] [debug] hook_ebpf: section name: kprobe/fsnotify, tracefs hook name: s1_20001_fsnotify_enter, ebpf_type: 20001, skip: false, event buffer type: perf
[2025-03-11 15:01:47.477161] [171420] [debug] hook_ebpf: section name: kprobe/security_file_open, tracefs hook name: s1_50007_security_file_open_enter, ebpf_type: 50007, skip: false, event buffer type: perf
[2025-03-11 15:01:47.485142] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_truncated_path_telemetry_tail: make_kprobe_traceable_section_name: failed, can't trace stream_truncated_path_telemetry_tail, skipping it
[2025-03-11 15:01:47.492830] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_create_sample_compat_tail: make_kprobe_traceable_section_name: failed, can't trace stream_create_sample_compat_tail, skipping it
[2025-03-11 15:01:47.501671] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_create_sample_tail: make_kprobe_traceable_section_name: failed, can't trace stream_create_sample_tail, skipping it
[2025-03-11 15:01:47.509940] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_post_walk_path_goto_custom_step_tail: make_kprobe_traceable_section_name: failed, can't trace do_post_walk_path_goto_custom_step_tail, skipping it
[2025-03-11 15:01:47.517963] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_walk_path_and_advance_tail: make_kprobe_traceable_section_name: failed, can't trace do_walk_path_and_advance_tail, skipping it
[2025-03-11 15:01:47.518043] [171420] [info] loaded eBPF object: path: /opt/sentinelone/ebpfs/core/file_create_kern.o, name: file_create_ker, programs (7), maps (9). eBPF programs: [name: fsnotify_prog, section name: kprobe/fsnotify, insns: 81, prog_type: kprobe, fd: 79] [name: security_file_open_prog, section name: kprobe/security_file_open, insns: 313, prog_type: kprobe, fd: 80] [name: stream_truncated_path_telemetry_tail, section name: kprobe/stream_truncated_path_telemetry_tail, insns: 1645, prog_type: kprobe, fd: 81] [name: stream_create_sample_compat_tail, section name: kprobe/stream_create_sample_compat_tail, insns: 19, prog_type: kprobe, fd: 82] [name: stream_create_sample_tail, section name: kprobe/stream_create_sample_tail, insns: 257, prog_type: kprobe, fd: 83] [name: do_post_walk_path_goto_custom_step_tail, section name: kprobe/do_post_walk_path_goto_custom_step_tail, insns: 83, prog_type: kprobe, fd: 84] [name: do_walk_path_and_advance_tail, section name: kprobe/do_walk_path_and_advance_tail, insns: 1639, prog_type: kprobe, fd: 85], eBPF maps: [name: file_create_inodes, fd: 70, type: lru_hash, max_entries: 2048, key_size: 8, value_size: 1] [name: events_map, fd: 71, type: perf_event, max_entries: 2048, key_size: 4, value_size: 4] [name: tmp_sample_storage, fd: 72, type: per_cpu, max_entries: 1, key_size: 4, value_size: 4160] [name: build_abs_path_args_map, fd: 73, type: lru_hash, max_entries: 2048, key_size: 8, value_size: 48] [name: build_abs_path_prog_array, fd: 74, type: prog_array, max_entries: 16, key_size: 4, value_size: 4] [name: s1_pex, fd: 76, type: hash, max_entries: 4194304, key_size: 4, value_size: 1] [name: s1_mex, fd: 77, type: hash, max_entries: 512, key_size: 4, value_size: 1] [name: tmp_dentry_storage_create, fd: 75, type: per_cpu, max_entries: 1, key_size: 4, value_size: 4100] [name: tmp_dynamic_sample_storage, fd: 78, type: per_cpu, max_entries: 1, key_size: 4, value_size: 8200], eBPF links:
[2025-03-11 15:01:47.518058] [171420] [debug] Run eBPF test for 'file_create_kern.o', 'ebpf_file_create', test params: /opt/sentinelone/ebpfs/test_ebpf file_create --object=/opt/sentinelone/ebpfs/core/file_create_kern.o --missing-caps
[2025-03-11 15:01:47.519713] [171420] [debug] run_ebpf_test: pid 171448
[2025-03-11 15:01:47.519727] [171420] [debug] Excluding PID 171448
[2025-03-11 15:01:48.520611] [171420] [info] eBPF test for 'file_create_kern.o', 'ebpf_file_create' pass successfully
[2025-03-11 15:01:48.520650] [171420] [info] tail_calls pipeline: adding 'index: 3, fd: 81' entry
[2025-03-11 15:01:48.520656] [171420] [info] tail_calls pipeline: adding 'index: 2, fd: 83' entry
[2025-03-11 15:01:48.520658] [171420] [info] tail_calls pipeline: adding 'index: 1, fd: 84' entry
[2025-03-11 15:01:48.520660] [171420] [info] tail_calls pipeline: adding 'index: 0, fd: 85' entry
[2025-03-11 15:01:48.520743] [171420] [debug] Initializing event ebpf_file_create
[2025-03-11 15:01:48.520746] [171420] [debug] get_supported_ebpf_object: called for 'ebpf_file_create' type
[2025-03-11 15:01:48.520750] [171420] [debug] perf_ebpf_object::init_hooks: called for ebpf_file_create
[2025-03-11 15:01:48.537386] [171420] [debug] Creating kprobe for 'security_file_open', using dynamic_pmu approach
[2025-03-11 15:01:48.537389] [171420] [info] perf_ebpf_object: initialized 1 hooks for type 'ebpf_file_create'
[2025-03-11 15:01:48.537407] [171420] [debug] adding sample handler for 50007
[2025-03-11 15:01:48.537416] [171420] [info] open_event_hooks: ebpf_file_create: 1 hooks
[2025-03-11 15:01:48.541232] [171420] [debug] eBPF program fd 80 attached to perf fd 86
[2025-03-11 15:01:48.541240] [171420] [trace] Adding event of type 50007
[2025-03-11 15:01:48.541246] [171420] [trace] Added event fd 86 to main fd 20 (CPU 0)
[2025-03-11 15:01:48.541258] [171420] [info] open_event_hooks: ebpf_file_create: 1 hooks
[2025-03-11 15:01:48.541262] [171420] [debug] hook_ebpf: handling cpu id 1 for 's1_50007_security_file_open_enter', creating a dummy fd
[2025-03-11 15:01:48.541264] [171420] [trace] Adding event of type 50007
[2025-03-11 15:01:48.545022] [171420] [debug] Initializing event file_delete
[2025-03-11 15:01:48.545028] [171420] [info] libbpf s1 constant 'dynamic_sample_enabled' set to 'enabled'
[2025-03-11 15:01:48.545967] [171420] [debug] available_versions: core,5.11.0-16
[2025-03-11 15:01:48.545983] [171420] [debug] init_ebpf_object: checking version 'core' for 'file_rename_delete' eBPF
[2025-03-11 15:01:48.632731] [171420] [debug] hook_ebpf: section name: kprobe/do_renameat2, tracefs hook name: s1_20000_do_renameat2_enter, ebpf_type: 20000, skip: false, event buffer type: perf
[2025-03-11 15:01:48.640423] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/SyS_renameat2: make_kprobe_traceable_section_name: failed, can't trace SyS_renameat2, skipping it
[2025-03-11 15:01:48.649196] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/SyS_renameat: make_kprobe_traceable_section_name: failed, can't trace SyS_renameat, skipping it
[2025-03-11 15:01:48.656701] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/SyS_rename: make_kprobe_traceable_section_name: failed, can't trace SyS_rename, skipping it
[2025-03-11 15:01:48.658711] [171420] [debug] hook_ebpf: section name: kprobe/do_unlinkat, tracefs hook name: s1_20000_do_unlinkat_enter, ebpf_type: 20000, skip: false, event buffer type: perf
[2025-03-11 15:01:48.666820] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/filename_parentat: make_kprobe_traceable_section_name: failed, can't trace filename_parentat, skipping it
[2025-03-11 15:01:48.670071] [171420] [debug] hook_ebpf: section name: kprobe/__filename_parentat, tracefs hook name: s1_20000___filename_parentat_enter, ebpf_type: 20000, skip: false, event buffer type: perf
[2025-03-11 15:01:48.677763] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/user_path_parent: make_kprobe_traceable_section_name: failed, can't trace user_path_parent, skipping it
[2025-03-11 15:01:48.681958] [171420] [debug] hook_ebpf: section name: kprobe/security_inode_rename, tracefs hook name: s1_50009_security_inode_rename_enter, ebpf_type: 50009, skip: false, event buffer type: perf
[2025-03-11 15:01:48.684631] [171420] [debug] hook_ebpf: section name: kprobe/security_inode_unlink, tracefs hook name: s1_50008_security_inode_unlink_enter, ebpf_type: 50008, skip: false, event buffer type: perf
[2025-03-11 15:01:48.699741] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_truncated_path_telemetry_delete_tail: make_kprobe_traceable_section_name: failed, can't trace stream_truncated_path_telemetry_delete_tail, skipping it
[2025-03-11 15:01:48.710738] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_delete_sample_compat_tail: make_kprobe_traceable_section_name: failed, can't trace stream_delete_sample_compat_tail, skipping it
[2025-03-11 15:01:48.718878] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_delete_sample_tail: make_kprobe_traceable_section_name: failed, can't trace stream_delete_sample_tail, skipping it
[2025-03-11 15:01:48.728738] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_post_walk_path_goto_custom_step_delete_tail: make_kprobe_traceable_section_name: failed, can't trace do_post_walk_path_goto_custom_step_delete_tail, skipping it
[2025-03-11 15:01:48.737538] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_walk_path_and_advance_delete_tail: make_kprobe_traceable_section_name: failed, can't trace do_walk_path_and_advance_delete_tail, skipping it
[2025-03-11 15:01:48.746452] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/build_rename_to_path_tail: make_kprobe_traceable_section_name: failed, can't trace build_rename_to_path_tail, skipping it
[2025-03-11 15:01:48.755783] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_truncated_path_telemetry_rename_tail: make_kprobe_traceable_section_name: failed, can't trace stream_truncated_path_telemetry_rename_tail, skipping it
[2025-03-11 15:01:48.768357] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_rename_sample_compat_tail: make_kprobe_traceable_section_name: failed, can't trace stream_rename_sample_compat_tail, skipping it
[2025-03-11 15:01:48.783141] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/stream_rename_sample_tail: make_kprobe_traceable_section_name: failed, can't trace stream_rename_sample_tail, skipping it
[2025-03-11 15:01:48.806657] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_post_walk_path_goto_custom_step_rename_from_tail: make_kprobe_traceable_section_name: failed, can't trace do_post_walk_path_goto_custom_step_rename_from_tail, skipping it
[2025-03-11 15:01:48.819610] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_post_walk_path_goto_custom_step_rename_to_tail: make_kprobe_traceable_section_name: failed, can't trace do_post_walk_path_goto_custom_step_rename_to_tail, skipping it
[2025-03-11 15:01:48.845305] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_walk_path_and_advance_rename_from_tail: make_kprobe_traceable_section_name: failed, can't trace do_walk_path_and_advance_rename_from_tail, skipping it
[2025-03-11 15:01:48.853517] [171420] [info] perf_ebpf_object::make_hooks: failed to create hook kprobe/do_walk_path_and_advance_rename_to_tail: make_kprobe_traceable_section_name: failed, can't trace do_walk_path_and_advance_rename_to_tail, skipping it
